,day_index,lastdateIncludedInModel,trend_predict,seed
0,3500,2019-10-21,UP,123
1,3501,2019-10-22,UP,123
2,3502,2019-10-23,UP,123
3,3503,2019-10-24,UP,123
4,3504,2019-10-25,UP,123
5,3505,2019-10-28,UP,123
6,3506,2019-10-29,UP,123
7,3507,2019-10-30,UP,123
8,3508,2019-10-31,UP,123
9,3509,2019-11-01,UP,123
10,3510,2019-11-04,UP,123
11,3511,2019-11-05,UP,123
12,3512,2019-11-06,UP,789
13,3513,2019-11-07,UP,123
14,3514,2019-11-08,UP,123
15,3515,2019-11-11,UP,789
16,3516,2019-11-12,UP,123
17,3517,2019-11-13,UP,123
18,3518,2019-11-14,UP,123
19,3519,2019-11-15,-,329
20,3520,2019-11-18,UP,456
21,3521,2019-11-19,UP,123
22,3522,2019-11-20,UP,123
23,3523,2019-11-21,UP,123
24,3524,2019-11-22,UP,123
25,3525,2019-11-25,UP,789
26,3526,2019-11-26,-,329
27,3527,2019-11-27,UP,123
28,3528,2019-11-29,UP,789
29,3529,2019-12-02,UP,789
30,3530,2019-12-03,UP,789
31,3531,2019-12-04,UP,789
32,3532,2019-12-05,UP,123
33,3533,2019-12-06,UP,123
34,3534,2019-12-09,UP,123
35,3535,2019-12-10,UP,123
36,3536,2019-12-11,-,329
37,3537,2019-12-12,-,329
38,3538,2019-12-13,DOWN,123
39,3539,2019-12-16,UP,789
40,3540,2019-12-17,DOWN,123
41,3541,2019-12-18,-,329
42,3542,2019-12-19,DOWN,123
43,3543,2019-12-20,DOWN,123
44,3544,2019-12-23,DOWN,123
45,3545,2019-12-24,DOWN,456
46,3546,2019-12-26,DOWN,456
47,3547,2019-12-27,DOWN,123
48,3548,2019-12-30,DOWN,789
49,3549,2019-12-31,DOWN,789
50,3550,2020-01-02,DOWN,123
51,3551,2020-01-03,DOWN,123
52,3552,2020-01-06,DOWN,123
53,3553,2020-01-07,DOWN,123
54,3554,2020-01-08,DOWN,789
55,3555,2020-01-09,UP,789
56,3556,2020-01-10,DOWN,123
57,3557,2020-01-13,DOWN,123
58,3558,2020-01-14,DOWN,123
59,3559,2020-01-15,DOWN,123
60,3560,2020-01-16,DOWN,123
61,3561,2020-01-17,UP,123
62,3562,2020-01-21,UP,123
63,3563,2020-01-22,-,329
64,3564,2020-01-23,UP,329
65,3565,2020-01-24,DOWN,789
66,3566,2020-01-27,DOWN,329
67,3567,2020-01-28,DOWN,123
68,3568,2020-01-29,DOWN,123
69,3569,2020-01-30,DOWN,123
70,3570,2020-01-31,DOWN,123
71,3571,2020-02-03,DOWN,789
72,3572,2020-02-04,UP,123
73,3573,2020-02-05,UP,123
74,3574,2020-02-06,UP,123
75,3575,2020-02-07,UP,123
76,3576,2020-02-10,DOWN,123
77,3577,2020-02-11,UP,123
78,3578,2020-02-12,DOWN,123
79,3579,2020-02-13,DOWN,123
80,3580,2020-02-14,DOWN,123
81,3581,2020-02-18,DOWN,123
82,3582,2020-02-19,DOWN,123
83,3583,2020-02-20,-,329
84,3584,2020-02-21,DOWN,123
85,3585,2020-02-24,DOWN,789
86,3586,2020-02-25,DOWN,123
87,3587,2020-02-26,UP,123
88,3588,2020-02-27,DOWN,123
89,3589,2020-02-28,DOWN,123
90,3590,2020-03-02,DOWN,123
91,3591,2020-03-03,DOWN,123
92,3592,2020-03-04,UP,789
93,3593,2020-03-05,UP,123
94,3594,2020-03-06,UP,123
95,3595,2020-03-09,UP,789
96,3596,2020-03-10,UP,123
97,3597,2020-03-11,UP,789
98,3598,2020-03-12,DOWN,789
99,3599,2020-03-13,UP,123
100,3600,2020-03-16,UP,789
101,3601,2020-03-17,DOWN,456
102,3602,2020-03-18,UP,329
103,3603,2020-03-19,DOWN,123
104,3604,2020-03-20,UP,123
105,3605,2020-03-23,UP,123
106,3606,2020-03-24,UP,789
107,3607,2020-03-25,UP,123
108,3608,2020-03-26,UP,789
109,3609,2020-03-27,DOWN,123
110,3610,2020-03-30,DOWN,123
111,3611,2020-03-31,DOWN,789
112,3612,2020-04-01,UP,123
113,3613,2020-04-02,-,329
114,3614,2020-04-03,DOWN,123
115,3615,2020-04-06,-,329
116,3616,2020-04-07,-,329
117,3617,2020-04-08,UP,123
118,3618,2020-04-09,DOWN,123
119,3619,2020-04-13,DOWN,123
120,3620,2020-04-14,DOWN,123
121,3621,2020-04-15,DOWN,789
122,3622,2020-04-16,DOWN,123
123,3623,2020-04-17,UP,123
124,3624,2020-04-20,UP,123
125,3625,2020-04-21,UP,123
126,3626,2020-04-22,DOWN,123
127,3627,2020-04-23,UP,123
128,3628,2020-04-24,UP,123
129,3629,2020-04-27,UP,123
130,3630,2020-04-28,UP,123
131,3631,2020-04-29,UP,123
132,3632,2020-04-30,UP,123
133,3633,2020-05-01,UP,123
134,3634,2020-05-04,UP,123
135,3635,2020-05-05,UP,123
136,3636,2020-05-06,UP,123
137,3637,2020-05-07,DOWN,329
138,3638,2020-05-08,UP,789
139,3639,2020-05-11,DOWN,123
140,3640,2020-05-12,DOWN,123
141,3641,2020-05-13,DOWN,329
142,3642,2020-05-14,DOWN,123
143,3643,2020-05-15,DOWN,123
144,3644,2020-05-18,DOWN,123
145,3645,2020-05-19,UP,789
146,3646,2020-05-20,DOWN,123
147,3647,2020-05-21,DOWN,123
148,3648,2020-05-22,DOWN,123
149,3649,2020-05-26,DOWN,123
150,3650,2020-05-27,DOWN,123
151,3651,2020-05-28,DOWN,123
152,3652,2020-05-29,UP,123
153,3653,2020-06-01,DOWN,123
154,3654,2020-06-02,DOWN,123
155,3655,2020-06-03,UP,123
156,3656,2020-06-04,UP,123
157,3657,2020-06-05,UP,123
158,3658,2020-06-08,UP,123
159,3659,2020-06-09,UP,789
160,3660,2020-06-10,DOWN,123
161,3661,2020-06-11,UP,789
162,3662,2020-06-12,UP,123
163,3663,2020-06-15,UP,123
164,3664,2020-06-16,UP,123
165,3665,2020-06-17,UP,789
166,3666,2020-06-18,UP,789
167,3667,2020-06-19,UP,123
168,3668,2020-06-22,UP,123
169,3669,2020-06-23,DOWN,789
170,3670,2020-06-24,DOWN,456
171,3671,2020-06-25,DOWN,123
172,3672,2020-06-26,DOWN,123
173,3673,2020-06-29,DOWN,123
174,3674,2020-06-30,DOWN,123
175,3675,2020-07-01,-,329
176,3676,2020-07-02,DOWN,123
177,3677,2020-07-06,DOWN,123
178,3678,2020-07-07,DOWN,123
179,3679,2020-07-08,DOWN,123
180,3680,2020-07-09,DOWN,123
181,3681,2020-07-10,DOWN,123
182,3682,2020-07-13,DOWN,123
183,3683,2020-07-14,DOWN,123
184,3684,2020-07-15,DOWN,789
185,3685,2020-07-16,DOWN,123
186,3686,2020-07-17,DOWN,789
187,3687,2020-07-20,DOWN,123
188,3688,2020-07-21,UP,123
189,3689,2020-07-22,UP,123
190,3690,2020-07-23,DOWN,123
191,3691,2020-07-24,DOWN,123
192,3692,2020-07-27,DOWN,123
193,3693,2020-07-28,DOWN,123
194,3694,2020-07-29,DOWN,789
195,3695,2020-07-30,DOWN,123
196,3696,2020-07-31,DOWN,123
197,3697,2020-08-03,DOWN,123
198,3698,2020-08-04,DOWN,123
199,3699,2020-08-05,DOWN,123
200,3700,2020-08-06,UP,789
201,3701,2020-08-07,UP,123
202,3702,2020-08-10,UP,123
203,3703,2020-08-11,UP,123
204,3704,2020-08-12,UP,123
205,3705,2020-08-13,UP,123
206,3706,2020-08-14,UP,123
207,3707,2020-08-17,UP,123
208,3708,2020-08-18,UP,123
209,3709,2020-08-19,UP,123
210,3710,2020-08-20,UP,123
211,3711,2020-08-21,UP,123
212,3712,2020-08-24,UP,123
213,3713,2020-08-25,UP,123
214,3714,2020-08-26,UP,123
215,3715,2020-08-27,UP,123
216,3716,2020-08-28,UP,123
217,3717,2020-08-31,UP,123
218,3718,2020-09-01,UP,123
219,3719,2020-09-02,UP,123
220,3720,2020-09-03,UP,123
221,3721,2020-09-04,UP,123
222,3722,2020-09-08,UP,123
223,3723,2020-09-09,UP,123
224,3724,2020-09-10,UP,123
225,3725,2020-09-11,UP,123
226,3726,2020-09-14,UP,123
227,3727,2020-09-15,UP,123
228,3728,2020-09-16,DOWN,123
229,3729,2020-09-17,UP,123
230,3730,2020-09-18,UP,123
231,3731,2020-09-21,UP,123
232,3732,2020-09-22,UP,123
233,3733,2020-09-23,UP,456
234,3734,2020-09-24,UP,123
235,3735,2020-09-25,UP,123
236,3736,2020-09-28,UP,123
237,3737,2020-09-29,UP,123
238,3738,2020-09-30,DOWN,123
239,3739,2020-10-01,DOWN,123
240,3740,2020-10-02,DOWN,123
241,3741,2020-10-05,UP,123
242,3742,2020-10-06,UP,123
243,3743,2020-10-07,DOWN,123
244,3744,2020-10-08,UP,456
245,3745,2020-10-09,DOWN,123
246,3746,2020-10-12,DOWN,123
247,3747,2020-10-13,UP,329
248,3748,2020-10-14,DOWN,123
249,3749,2020-10-15,DOWN,789
250,3750,2020-10-16,DOWN,123
251,3751,2020-10-19,DOWN,123
252,3752,2020-10-20,DOWN,123
253,3753,2020-10-21,UP,123
254,3754,2020-10-22,DOWN,123
255,3755,2020-10-23,UP,123
256,3756,2020-10-26,UP,789
257,3757,2020-10-27,DOWN,123
258,3758,2020-10-28,UP,123
259,3759,2020-10-29,UP,123
260,3760,2020-10-30,UP,123
261,3761,2020-11-02,UP,123
262,3762,2020-11-03,UP,123
263,3763,2020-11-04,UP,123
264,3764,2020-11-05,UP,123
265,3765,2020-11-06,UP,123
266,3766,2020-11-09,UP,123
267,3767,2020-11-10,UP,123
268,3768,2020-11-11,UP,123
269,3769,2020-11-12,UP,789
270,3770,2020-11-13,DOWN,123
