,day_index,trend_predict
0,2700,-
1,2701,-
2,2702,-
3,2703,-
4,2704,-
5,2705,-
6,2706,-
7,2707,-
8,2708,-
9,2709,-
10,2710,-
11,2711,-
12,2712,-
13,2713,-
14,2714,-
15,2715,-
16,2716,-
17,2717,-
18,2718,-
19,2719,-
20,2720,-
21,2721,-
22,2722,-
23,2723,-
24,2724,-
25,2725,-
26,2726,-
27,2727,-
28,2728,-
29,2729,-
30,2730,-
31,2731,-
32,2732,DOWN
33,2733,DOWN
34,2734,DOWN
35,2735,DOWN
36,2736,DOWN
37,2737,DOWN
38,2738,-
39,2739,-
40,2740,-
41,2741,-
42,2742,-
43,2743,-
44,2744,-
45,2745,-
46,2746,-
47,2747,-
48,2748,-
49,2749,-
50,2750,-
51,2751,-
52,2752,-
53,2753,-
54,2754,-
55,2755,-
56,2756,-
57,2757,UP
58,2758,-
59,2759,-
60,2760,-
61,2761,-
62,2762,-
63,2763,-
64,2764,-
65,2765,-
66,2766,-
67,2767,-
68,2768,-
69,2769,-
70,2770,-
71,2771,-
72,2772,-
73,2773,-
74,2774,UP
75,2775,-
76,2776,-
77,2777,-
78,2778,UP
79,2779,-
80,2780,-
81,2781,-
82,2782,-
83,2783,UP
84,2784,-
85,2785,-
86,2786,-
87,2787,-
88,2788,-
89,2789,-
90,2790,-
91,2791,-
92,2792,-
93,2793,-
94,2794,-
95,2795,-
96,2796,-
97,2797,-
98,2798,-
99,2799,-
100,2800,-
101,2801,-
102,2802,-
103,2803,-
104,2804,-
105,2805,-
106,2806,-
107,2807,-
108,2808,-
109,2809,-
110,2810,-
111,2811,-
112,2812,-
113,2813,-
114,2814,-
115,2815,-
116,2816,-
117,2817,-
118,2818,-
119,2819,-
120,2820,-
121,2821,-
122,2822,-
123,2823,-
124,2824,-
125,2825,-
126,2826,-
127,2827,-
128,2828,-
129,2829,-
130,2830,-
131,2831,-
132,2832,-
133,2833,-
134,2834,-
135,2835,-
136,2836,-
137,2837,-
138,2838,-
139,2839,-
140,2840,-
141,2841,-
142,2842,-
143,2843,-
144,2844,-
145,2845,-
146,2846,-
147,2847,-
148,2848,-
149,2849,-
150,2850,-
151,2851,-
152,2852,-
153,2853,-
154,2854,-
155,2855,-
156,2856,-
157,2857,-
158,2858,-
159,2859,-
160,2860,-
161,2861,-
162,2862,-
163,2863,-
164,2864,-
165,2865,-
166,2866,-
167,2867,-
168,2868,-
169,2869,-
170,2870,-
171,2871,-
172,2872,-
173,2873,-
174,2874,-
175,2875,-
176,2876,-
177,2877,-
178,2878,-
179,2879,-
180,2880,-
181,2881,-
182,2882,-
183,2883,DOWN
184,2884,DOWN
185,2885,DOWN
186,2886,DOWN
187,2887,DOWN
188,2888,DOWN
189,2889,DOWN
190,2890,DOWN
191,2891,DOWN
192,2892,-
193,2893,-
194,2894,-
195,2895,-
196,2896,-
197,2897,-
198,2898,DOWN
199,2899,DOWN
200,2900,DOWN
201,2901,-
202,2902,-
203,2903,DOWN
204,2904,-
205,2905,-
206,2906,-
207,2907,-
208,2908,-
209,2909,-
210,2910,-
211,2911,-
212,2912,-
213,2913,-
214,2914,-
215,2915,UP
216,2916,UP
217,2917,UP
218,2918,-
219,2919,UP
220,2920,-
221,2921,UP
222,2922,-
223,2923,UP
224,2924,UP
225,2925,-
226,2926,-
227,2927,-
228,2928,-
229,2929,-
230,2930,-
231,2931,-
232,2932,-
233,2933,-
234,2934,-
235,2935,-
236,2936,-
237,2937,-
238,2938,-
239,2939,-
240,2940,-
241,2941,-
242,2942,-
243,2943,-
244,2944,-
245,2945,DOWN
246,2946,-
247,2947,-
248,2948,-
249,2949,-
250,2950,-
251,2951,-
252,2952,-
253,2953,-
254,2954,-
255,2955,DOWN
256,2956,DOWN
257,2957,-
258,2958,-
259,2959,-
260,2960,-
261,2961,-
262,2962,UP
263,2963,-
264,2964,-
265,2965,-
266,2966,-
267,2967,-
268,2968,-
269,2969,DOWN
270,2970,-
271,2971,-
272,2972,-
273,2973,DOWN
274,2974,-
275,2975,-
276,2976,-
277,2977,-
278,2978,UP
279,2979,-
280,2980,-
281,2981,-
282,2982,-
283,2983,-
284,2984,-
285,2985,-
286,2986,-
287,2987,-
288,2988,-
289,2989,-
290,2990,-
291,2991,UP
292,2992,-
293,2993,DOWN
294,2994,DOWN
295,2995,DOWN
296,2996,DOWN
297,2997,DOWN
298,2998,DOWN
299,2999,DOWN
300,3000,DOWN
301,3001,DOWN
302,3002,DOWN
303,3003,DOWN
304,3004,DOWN
305,3005,DOWN
306,3006,DOWN
307,3007,DOWN
308,3008,DOWN
309,3009,DOWN
310,3010,-
311,3011,-
312,3012,-
313,3013,-
314,3014,DOWN
315,3015,DOWN
316,3016,DOWN
317,3017,-
318,3018,-
319,3019,-
320,3020,-
321,3021,-
322,3022,-
323,3023,-
324,3024,-
325,3025,DOWN
326,3026,-
327,3027,-
328,3028,-
329,3029,-
330,3030,-
331,3031,-
332,3032,-
333,3033,-
334,3034,-
335,3035,-
336,3036,-
337,3037,-
338,3038,-
339,3039,-
340,3040,-
341,3041,-
342,3042,-
343,3043,-
344,3044,-
345,3045,-
346,3046,-
347,3047,-
348,3048,-
349,3049,-
350,3050,-
351,3051,-
352,3052,-
353,3053,-
354,3054,-
355,3055,-
356,3056,-
357,3057,-
358,3058,-
359,3059,-
360,3060,-
361,3061,-
362,3062,-
363,3063,-
364,3064,-
365,3065,-
366,3066,-
367,3067,-
368,3068,-
369,3069,-
370,3070,-
371,3071,-
372,3072,-
373,3073,-
374,3074,-
375,3075,-
376,3076,-
377,3077,-
378,3078,-
379,3079,-
380,3080,-
381,3081,-
382,3082,-
383,3083,-
384,3084,-
385,3085,-
386,3086,-
387,3087,-
388,3088,-
389,3089,-
390,3090,-
391,3091,-
392,3092,-
393,3093,-
394,3094,-
395,3095,-
396,3096,-
397,3097,-
398,3098,-
399,3099,-
400,3100,-
401,3101,-
402,3102,-
403,3103,-
404,3104,-
405,3105,-
406,3106,-
407,3107,-
408,3108,-
409,3109,-
410,3110,-
411,3111,-
412,3112,-
413,3113,-
414,3114,-
415,3115,-
416,3116,-
417,3117,-
418,3118,-
419,3119,-
420,3120,-
421,3121,-
422,3122,-
423,3123,-
424,3124,-
425,3125,-
426,3126,-
427,3127,-
428,3128,-
429,3129,-
430,3130,-
431,3131,-
432,3132,-
433,3133,-
434,3134,-
435,3135,-
436,3136,-
437,3137,-
438,3138,-
439,3139,-
440,3140,-
441,3141,-
442,3142,-
443,3143,-
444,3144,-
445,3145,-
446,3146,-
447,3147,-
448,3148,-
449,3149,-
450,3150,-
451,3151,-
452,3152,-
453,3153,-
454,3154,-
455,3155,-
456,3156,-
457,3157,-
458,3158,-
459,3159,-
460,3160,-
461,3161,-
462,3162,-
463,3163,-
464,3164,-
465,3165,-
466,3166,-
467,3167,-
468,3168,-
469,3169,-
470,3170,-
471,3171,-
472,3172,-
473,3173,-
474,3174,-
475,3175,-
476,3176,-
477,3177,-
478,3178,-
479,3179,-
480,3180,-
481,3181,-
482,3182,-
483,3183,-
484,3184,-
485,3185,-
486,3186,-
487,3187,-
488,3188,-
489,3189,-
490,3190,-
491,3191,-
492,3192,-
493,3193,-
494,3194,-
495,3195,-
496,3196,-
497,3197,-
498,3198,-
499,3199,-
500,3200,-
501,3201,-
502,3202,-
503,3203,-
504,3204,-
505,3205,-
506,3206,-
507,3207,-
508,3208,-
509,3209,-
510,3210,-
511,3211,-
512,3212,-
513,3213,-
514,3214,-
515,3215,-
516,3216,-
517,3217,-
518,3218,-
519,3219,-
520,3220,-
521,3221,-
522,3222,-
523,3223,-
524,3224,-
525,3225,-
526,3226,-
527,3227,-
528,3228,-
529,3229,-
530,3230,-
531,3231,-
532,3232,-
533,3233,-
534,3234,-
535,3235,-
536,3236,-
537,3237,-
538,3238,-
539,3239,-
540,3240,-
541,3241,-
542,3242,-
543,3243,-
544,3244,-
545,3245,-
546,3246,-
547,3247,-
548,3248,-
549,3249,-
550,3250,-
551,3251,-
552,3252,-
553,3253,-
554,3254,-
555,3255,-
556,3256,-
557,3257,-
558,3258,-
559,3259,-
560,3260,-
561,3261,-
562,3262,-
563,3263,-
564,3264,-
565,3265,-
566,3266,-
567,3267,-
568,3268,-
569,3269,-
570,3270,-
571,3271,-
572,3272,-
573,3273,-
574,3274,-
575,3275,-
576,3276,-
577,3277,-
578,3278,-
579,3279,-
580,3280,-
581,3281,-
582,3282,-
583,3283,-
584,3284,-
585,3285,-
586,3286,-
587,3287,-
588,3288,-
589,3289,-
590,3290,-
591,3291,-
592,3292,-
593,3293,-
594,3294,-
595,3295,-
596,3296,-
597,3297,-
598,3298,-
599,3299,-
600,3300,-
601,3301,-
602,3302,-
603,3303,-
604,3304,-
605,3305,-
606,3306,-
607,3307,-
608,3308,-
609,3309,-
610,3310,-
611,3311,-
612,3312,-
613,3313,-
614,3314,-
615,3315,-
616,3316,-
617,3317,-
618,3318,-
619,3319,-
620,3320,-
621,3321,-
622,3322,-
623,3323,-
624,3324,-
625,3325,-
626,3326,-
627,3327,-
628,3328,-
629,3329,-
630,3330,-
631,3331,-
632,3332,-
633,3333,-
634,3334,-
635,3335,-
636,3336,-
637,3337,-
638,3338,-
639,3339,-
640,3340,-
641,3341,-
642,3342,-
643,3343,-
644,3344,-
645,3345,-
646,3346,-
647,3347,-
648,3348,-
649,3349,-
650,3350,-
651,3351,-
652,3352,-
653,3353,-
654,3354,-
655,3355,-
656,3356,-
657,3357,-
658,3358,-
659,3359,-
660,3360,-
661,3361,-
662,3362,-
663,3363,-
664,3364,-
665,3365,-
666,3366,-
667,3367,-
668,3368,-
669,3369,-
670,3370,-
671,3371,-
672,3372,-
673,3373,-
674,3374,-
675,3375,-
676,3376,-
677,3377,-
678,3378,-
679,3379,-
680,3380,-
681,3381,-
682,3382,-
683,3383,-
684,3384,-
685,3385,-
686,3386,-
687,3387,-
688,3388,-
689,3389,-
690,3390,-
691,3391,-
692,3392,UP
693,3393,UP
694,3394,UP
695,3395,-
696,3396,-
697,3397,-
698,3398,UP
699,3399,UP
700,3400,UP
701,3401,UP
702,3402,-
703,3403,UP
704,3404,UP
705,3405,UP
706,3406,-
707,3407,-
708,3408,-
709,3409,-
710,3410,-
711,3411,-
712,3412,-
713,3413,-
714,3414,-
715,3415,-
716,3416,-
717,3417,-
718,3418,-
719,3419,-
720,3420,-
721,3421,-
722,3422,-
723,3423,-
724,3424,-
725,3425,-
726,3426,-
727,3427,-
728,3428,-
729,3429,-
730,3430,-
731,3431,-
732,3432,-
733,3433,-
734,3434,-
735,3435,-
736,3436,-
737,3437,-
738,3438,-
739,3439,-
740,3440,-
741,3441,-
742,3442,-
743,3443,-
744,3444,-
745,3445,-
746,3446,-
747,3447,UP
748,3448,-
749,3449,-
750,3450,-
751,3451,-
752,3452,-
753,3453,UP
754,3454,UP
755,3455,UP
756,3456,UP
757,3457,-
758,3458,UP
759,3459,UP
760,3460,-
761,3461,-
762,3462,UP
763,3463,-
764,3464,-
765,3465,UP
766,3466,UP
767,3467,-
768,3468,-
769,3469,UP
770,3470,-
771,3471,UP
772,3472,UP
773,3473,-
774,3474,-
775,3475,UP
776,3476,UP
777,3477,-
778,3478,UP
779,3479,UP
780,3480,UP
781,3481,UP
782,3482,DOWN
783,3483,-
784,3484,-
785,3485,-
786,3486,-
787,3487,-
788,3488,UP
789,3489,UP
790,3490,-
791,3491,-
792,3492,-
793,3493,UP
794,3494,UP
795,3495,UP
796,3496,UP
797,3497,UP
798,3498,UP
799,3499,-
800,3500,-
801,3501,UP
802,3502,UP
803,3503,-
804,3504,UP
805,3505,UP
806,3506,-
807,3507,-
808,3508,-
809,3509,UP
810,3510,-
811,3511,-
812,3512,UP
813,3513,UP
814,3514,UP
815,3515,UP
816,3516,-
817,3517,-
818,3518,-
819,3519,-
820,3520,-
821,3521,-
822,3522,-
823,3523,-
824,3524,-
825,3525,-
826,3526,-
827,3527,-
828,3528,-
829,3529,-
830,3530,-
831,3531,-
832,3532,-
833,3533,-
834,3534,-
835,3535,-
836,3536,-
837,3537,-
838,3538,-
839,3539,-
840,3540,-
841,3541,-
842,3542,-
843,3543,-
844,3544,-
845,3545,-
846,3546,-
847,3547,-
848,3548,-
849,3549,-
850,3550,-
851,3551,-
852,3552,-
853,3553,-
854,3554,-
855,3555,-
856,3556,-
857,3557,-
858,3558,-
859,3559,-
860,3560,-
861,3561,-
862,3562,-
863,3563,-
864,3564,-
865,3565,-
866,3566,-
867,3567,-
868,3568,-
869,3569,-
870,3570,-
871,3571,-
